cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count
670488,(E)-2-acetamido-N-(furan-2-ylmethyl)-3-phenylprop-2-enamide,CC(=O)NC(=CC1=CC=CC=C1)C(=O)NCC2=CC=CO2,284.315,21,16,3,2,0,0,2
116740,"2,6,9,10-tetramethyl-1-oxaspiro[4.5]deca-3,6-diene",CC1CC=C(C2(C1C)C=CC(O2)C)C,192.302,14,13,1,0,0,0,0
26226,"4-[2-(cyclopentylamino)-1-hydroxyethyl]benzene-1,2-diol",C1CCC(C1)NCC(C2=CC(=C(C=C2)O)O)O,237.29900000000004,17,13,3,1,0,0,1
777573,methyl 2-[4-thiophen-2-yl-6-(trifluoromethyl)pyrimidin-2-yl]sulfanylacetate,COC(=O)CSC1=NC(=CC(=N1)C(F)(F)F)C2=CC=CS2,334.344,21,12,2,2,2,3,2
288390,methyl 4-[2-(1H-indol-3-yl)ethyl-methylamino]-4-oxobutanoate,CN(CCC1=CNC2=CC=CC=C21)C(=O)CCC(=O)OC,288.34700000000004,21,16,3,2,0,0,2
256788,"4,7-diamino-2-methylsulfanylpteridine-6-carboxamide",CSC1=NC(=C2C(=N1)N=C(C(=N2)C(=O)N)N)N,251.27499999999998,17,8,1,7,1,0,2
234054,3-[2-[4-(3-chlorophenyl)piperazin-1-yl]ethoxy]propanenitrile,C1CN(CCN1CCOCCC#N)C2=CC(=CC=C2)Cl,293.798,20,15,1,3,0,1,1
146317,methyl 3-(3-hydroxy-4-methoxyphenyl)prop-2-enoate,COC1=C(C=C(C=C1)C=CC(=O)OC)O,208.21299999999997,15,11,4,0,0,0,1
772247,N-(2-acetamidophenyl)-2-fluorobenzamide,CC(=O)NC1=CC=CC=C1NC(=O)C2=CC=CC=C2F,272.279,20,15,2,2,0,1,2
107474,(2-hydroxy-3-octylsulfanylpropyl)-trimethylazanium,CCCCCCCCSCC(C[N+](C)(C)C)O,262.48299999999995,17,14,1,1,1,0,0
709571,1-[(2-chlorophenyl)methyl]-2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1CC3=CC=CC=C3Cl,256.736,18,15,0,2,0,1,3
776647,2-[[benzyl(thiophen-2-ylmethyl)carbamothioyl]amino]acetic acid,C1=CC=C(C=C1)CN(CC2=CC=CS2)C(=S)NCC(=O)O,320.4390000000001,21,15,2,2,2,0,2
935519,4-[5-(2-methoxyphenoxy)tetrazol-1-yl]benzoic acid,COC1=CC=CC=C1OC2=NN=NN2C3=CC=C(C=C3)C(=O)O,312.285,23,15,4,4,0,0,3
571859,N-methyl-N-phenylpyridine-2-carboxamide,CN(C1=CC=CC=C1)C(=O)C2=CC=CC=N2,212.25199999999998,16,13,1,2,0,0,2
91162,ethyl 2-acetylheptanoate,CCCCCC(C(=O)C)C(=O)OCC,200.27799999999996,14,11,3,0,0,0,0
619177,"2-butyl-1,3-bis(methylsulfonyl)benzene",CCCCC1=C(C=CC=C1S(=O)(=O)C)S(=O)(=O)C,290.406,18,12,4,0,2,0,1
442418,"(2S,3R,4S,5S,6R)-2-[[(1S,2R,4S,5R,6S,10S)-5,6-dihydroxy-2-methyl-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-10-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",CC12C3C(OC=CC3(C(C1O2)O)O)OC4C(C(C(C(O4)CO)O)O)O,362.3310000000001,25,15,10,0,0,0,0
33327,"1-[3-(dimethylamino)propyl]-3,3-dimethyl-N-phenyl-2-benzothiophene-1-carboxamide",CC1(C2=CC=CC=C2C(S1)(CCCN(C)C)C(=O)NC3=CC=CC=C3)C,368.546,26,22,1,2,1,0,2
31245,2-methylpentanal,CCCC(C)C=O,100.16099999999999,7,6,1,0,0,0,0
98247,2-methylbicyclo[2.2.1]hept-5-ene-2-carboxamide,CC1(CC2CC1C=C2)C(=O)N,151.20899999999997,11,9,1,1,0,0,0
229259,"ethyl 2-[(3-ethoxycarbonyl-4,5-dimethyl-1H-pyrrol-2-yl)methylidene]-4,5-dimethylpyrrole-3-carboxylate",CCOC(=O)C1=C(NC(=C1C)C)C=C2C(=C(C(=N2)C)C)C(=O)OCC,344.4110000000001,25,19,4,2,0,0,1
243963,"2,4-dimethoxy-1,3,5-triazine",COC1=NC(=NC=N1)OC,141.13,10,5,2,3,0,0,1
529904,1-(prop-1-enyldisulfanyl)propane,CCCSSC=CC,148.296,8,6,0,0,2,0,0
631263,5-(4-chlorophenoxy)-6-methoxy-2-methyl-8-nitroquinoline,CC1=NC2=C(C=C1)C(=C(C=C2[N+](=O)[O-])OC)OC3=CC=C(C=C3)Cl,344.754,24,17,4,2,0,1,3
27825,N-butyl-N-pentylnitrous amide,CCCCCN(CCCC)N=O,172.27200000000002,12,9,1,2,0,0,0
588509,3-butyl-2-ethylthiolane,CCCCC1CCSC1CC,172.337,11,10,0,0,1,0,0
208497,"2-(1,4-dimethyl-4-propylpiperazine-1,4-diium-1-yl)ethyl 2-(5-methyl-2-propan-2-ylphenoxy)acetate",CCC[N+]1(CC[N+](CC1)(C)CCOC(=O)COC2=C(C=CC(=C2)C)C(C)C)C,392.5840000000001,28,23,3,2,0,0,1
750801,"3-(4-chlorophenyl)-5-[(2,3-dimethylphenoxy)methyl]-1,2,4-oxadiazole",CC1=C(C(=CC=C1)OCC2=NC(=NO2)C3=CC=C(C=C3)Cl)C,314.772,22,17,2,2,0,1,3
